feature,most_common_level,support,denominator,support_share
cat70,A,188295,188318,0.9998778661625548
cat15,A,188284,188318,0.9998194543272549
cat22,A,188275,188318,0.999771662825646
cat62,A,188273,188318,0.9997610424919551
cat64,A,188271,188318,0.9997504221582643
cat63,A,188239,188318,0.99958049681921
cat68,A,188176,188318,0.9992459563079472
cat55,A,188173,188318,0.9992300258074108
cat56,A,188136,188318,0.9990335496341295
cat20,A,188114,188318,0.9989167259635298
cat35,A,188105,188318,0.9988689344619208
cat58,A,188079,188318,0.9987308701239392
cat48,A,188049,188318,0.998571565118576
cat59,A,188018,188318,0.9984069499463674
cat69,A,188011,188318,0.9983697787784492
cat21,A,187905,188318,0.9978069010928323
cat60,A,187872,188318,0.9976316655869327
cat34,A,187734,188318,0.9968988625622617
cat67,A,187626,188318,0.996325364542954
cat47,A,187617,188318,0.996277573041345
cat61,A,187596,188318,0.9961660595375906
cat77,D,187503,188318,0.9956722140209645
cat46,A,187436,188318,0.9953164328423199
cat33,A,187361,188318,0.9949181703289117
cat18,A,187331,188318,0.9947588653235485
cat32,A,187107,188318,0.9935693879501694
cat51,A,187071,188318,0.9933782219437335
cat17,A,187009,188318,0.993048991599316
cat42,A,186623,188318,0.9909992671969753
cat78,B,186526,188318,0.9904841810129674
cat19,A,186510,188318,0.9903992183434404
cat65,A,186056,188318,0.9879884025956096
cat14,A,186041,188318,0.9879087500929279
cat85,B,186005,188318,0.987717584086492
cat57,A,185296,188318,0.9839526757930734
cat30,A,184760,188318,0.9811064263639163
cat74,A,184731,188318,0.9809524315253986
cat29,A,184593,188318,0.9802196285007275
cat43,A,184110,188318,0.9776548179143789
cat45,A,183991,188318,0.9770229080597712
cat54,A,183762,188318,0.975806879852165
cat7,A,183744,188318,0.975711296848947
cat89,A,183744,188318,0.975711296848947
cat39,A,183393,188318,0.9738474282861967
cat31,A,182980,188318,0.9716543293790291
cat24,A,181977,188318,0.9663282320330505
cat16,A,181843,188318,0.9656166696757612
cat76,A,181347,188318,0.9629828269204218
cat41,A,181177,188318,0.9620800985566966
cat28,A,180938,188318,0.960810968680636
cat40,A,180119,188318,0.9564619420342187
cat66,A,179982,188318,0.9557344491763932
cat52,A,179505,188318,0.9532014995911171
cat49,A,179127,188318,0.95119425652354
cat71,A,178646,188318,0.9486400662708823
cat3,A,177993,188318,0.9451725273208084
cat90,A,177993,188318,0.9451725273208084
cat102,A,177274,188318,0.9413545173589354
cat8,A,177274,188318,0.9413545173589354
cat26,A,177119,188318,0.9405314414978919
cat96,E,174360,188318,0.9258806911713165
cat53,A,172949,188318,0.9183880457523975
cat44,A,172716,188318,0.9171507768774095
cat25,A,169969,188318,0.9025637485529795
cat38,A,169323,188318,0.8991333807708238
cat88,A,168926,188318,0.8970252445331832
cat13,A,168851,188318,0.8966269820197751
cat27,A,168250,188318,0.8934355717456642
cat11,A,168186,188318,0.893095721067556
cat87,B,166992,188318,0.8867553818540979
cat37,A,165729,188318,0.8800486411283043
cat10,A,160213,188318,0.8507577608088446
cat12,A,159825,188318,0.848697416072813
cat23,A,157445,188318,0.8360592189806604
cat36,A,156313,188318,0.8300481101116197
cat84,C,154939,188318,0.822751940865982
cat81,D,154385,188318,0.819810108433607
cat75,A,154307,188318,0.8193959154196625
cat73,A,154275,188318,0.8192259900806084
cat79,B,152929,188318,0.8120785055066431
cat109,BI,152918,188318,0.8120200936713432
cat93,D,150237,188318,0.7977835363587124
cat82,B,147536,188318,0.7834407757091728
cat1,A,141550,188318,0.7516541169723553
cat83,B,141534,188318,0.7515691543028282
cat50,A,137611,188318,0.7307373697681581
cat80,D,137505,188318,0.7301744920825413
cat114,A,131693,188318,0.6993118023768307
cat6,A,131693,188318,0.6993118023768307
cat111,A,128395,188318,0.681798872120562
cat4,A,128395,188318,0.681798872120562
cat92,A,124689,188318,0.6621193937913529
cat103,A,123737,188318,0.6570641149544919
cat5,A,123737,188318,0.6570641149544919
cat94,D,121642,188318,0.6459393154132903
cat72,A,118322,188318,0.6283095614864219
cat9,A,113122,188318,0.600696693890122
cat91,A,111028,188318,0.5895772045157659
cat101,A,106721,188318,0.566706315912446
cat2,A,106721,188318,0.566706315912446
cat98,A,105492,188318,0.5601801208593974
cat86,B,103852,188318,0.551471447232872
cat95,C,87531,188318,0.46480421414840856
cat99,P,79455,188318,0.42191930670461664
cat97,C,78127,188318,0.4148674051338693
cat105,E,76493,188318,0.4061905925084166
cat108,B,65512,188318,0.3478796503786149
cat107,F,47310,188318,0.25122399345787444
cat106,G,47165,188318,0.2504540192652853
cat115,K,43866,188318,0.23293577884217123
cat100,F,42970,188318,0.22817786934865494
cat104,E,42925,188318,0.22793891184061002
cat113,BM,26191,188318,0.13907857984897887
cat110,CL,25305,188318,0.13437377202391698
cat112,E,25148,188318,0.13354007582918256
cat116,HK,21061,188318,0.11183742393185994
