feature,cardinality,supported_level_count,rare_level_count,rare_observation_count,denominator,rare_observation_share,rare_level_threshold
cat116,326,124,202,3807,188318,0.020215805180598775,100
cat110,131,48,83,1602,188318,0.008506887286398538,100
cat109,84,21,63,1656,188318,0.008793636296052423,100
cat113,61,42,19,244,188318,0.0012956807102879173,100
cat112,51,50,1,30,188318,0.00015930500536326853,100
cat115,23,14,9,186,188318,0.0009876910332522648,100
cat105,20,11,9,178,188318,0.0009452096984887265,100
cat107,20,15,5,116,188318,0.0006159793540713049,100
cat101,19,13,6,15,188318,7.965250268163426e-05,100
cat114,19,11,8,94,188318,0.0004991556834715746,100
cat104,17,13,4,200,188318,0.0010620333690884568,100
cat106,17,12,5,184,188318,0.0009770706995613802,100
cat99,16,11,5,205,188318,0.0010885842033156682,100
cat111,16,8,8,176,188318,0.000934589364797842,100
cat100,15,14,1,26,188318,0.00013806433798149937,100
cat103,13,9,4,75,188318,0.00039826251340817126,100
cat108,11,11,0,0,188318,0.0,100
