column_name,cardinality,most_common_level,least_common_level,most_common_level_support,least_common_level_support,most_common_level_share,min_level_support,median_level_support,levels_below_rare_threshold,rare_level_threshold,cardinality_group
cat1,2,A,B,141550,46768,0.7516541169723553,46768,94159.0,0,100,low
cat10,2,A,B,160213,28105,0.8507577608088446,28105,94159.0,0,100,low
cat100,15,F,E,42970,26,0.22817786934865494,26,9402.0,1,100,high
cat101,19,A,U,106721,1,0.566706315912446,1,2762.0,6,100,high
cat102,9,A,J,177274,1,0.9413545173589354,1,449.0,4,100,low
cat103,13,A,N,123737,2,0.6570641149544919,2,550.0,4,100,high
cat104,17,E,Q,42925,3,0.22793891184061002,3,3486.0,4,100,high
cat105,20,E,S,76493,1,0.4061905925084166,1,158.0,9,100,high
cat106,17,G,P,47165,2,0.2504540192652853,2,1934.0,5,100,high
cat107,20,F,S,47310,2,0.25122399345787444,2,1432.0,5,100,high
cat108,11,B,J,65512,213,0.3478796503786149,213,9299.0,0,100,high
cat109,84,BI,AK,152918,1,0.8120200936713432,1,36.0,63,100,high
cat11,2,A,B,168186,20132,0.893095721067556,20132,94159.0,0,100,low
cat110,131,CL,S,25305,1,0.13437377202391698,1,29.0,83,100,high
cat111,16,A,Y,128395,2,0.681798872120562,2,156.0,8,100,high
cat112,51,E,AQ,25148,30,0.13354007582918256,30,1331.0,1,100,high
cat113,61,BM,AR,26191,1,0.13907857984897887,1,1463.0,19,100,high
cat114,19,A,G,131693,1,0.6993118023768307,1,250.0,8,100,high
cat115,23,K,C,43866,1,0.23293577884217123,1,315.0,9,100,high
cat116,326,HK,AE,21061,1,0.11183742393185994,1,35.0,202,100,high
cat12,2,A,B,159825,28493,0.848697416072813,28493,94159.0,0,100,low
cat13,2,A,B,168851,19467,0.8966269820197751,19467,94159.0,0,100,low
cat14,2,A,B,186041,2277,0.9879087500929279,2277,94159.0,0,100,low
cat15,2,A,B,188284,34,0.9998194543272549,34,94159.0,1,100,low
cat16,2,A,B,181843,6475,0.9656166696757612,6475,94159.0,0,100,low
cat17,2,A,B,187009,1309,0.993048991599316,1309,94159.0,0,100,low
cat18,2,A,B,187331,987,0.9947588653235485,987,94159.0,0,100,low
cat19,2,A,B,186510,1808,0.9903992183434404,1808,94159.0,0,100,low
cat2,2,A,B,106721,81597,0.566706315912446,81597,94159.0,0,100,low
cat20,2,A,B,188114,204,0.9989167259635298,204,94159.0,0,100,low
cat21,2,A,B,187905,413,0.9978069010928323,413,94159.0,0,100,low
cat22,2,A,B,188275,43,0.999771662825646,43,94159.0,1,100,low
cat23,2,A,B,157445,30873,0.8360592189806604,30873,94159.0,0,100,low
cat24,2,A,B,181977,6341,0.9663282320330505,6341,94159.0,0,100,low
cat25,2,A,B,169969,18349,0.9025637485529795,18349,94159.0,0,100,low
cat26,2,A,B,177119,11199,0.9405314414978919,11199,94159.0,0,100,low
cat27,2,A,B,168250,20068,0.8934355717456642,20068,94159.0,0,100,low
cat28,2,A,B,180938,7380,0.960810968680636,7380,94159.0,0,100,low
cat29,2,A,B,184593,3725,0.9802196285007275,3725,94159.0,0,100,low
cat3,2,A,B,177993,10325,0.9451725273208084,10325,94159.0,0,100,low
cat30,2,A,B,184760,3558,0.9811064263639163,3558,94159.0,0,100,low
cat31,2,A,B,182980,5338,0.9716543293790291,5338,94159.0,0,100,low
cat32,2,A,B,187107,1211,0.9935693879501694,1211,94159.0,0,100,low
cat33,2,A,B,187361,957,0.9949181703289117,957,94159.0,0,100,low
cat34,2,A,B,187734,584,0.9968988625622617,584,94159.0,0,100,low
cat35,2,A,B,188105,213,0.9988689344619208,213,94159.0,0,100,low
cat36,2,A,B,156313,32005,0.8300481101116197,32005,94159.0,0,100,low
cat37,2,A,B,165729,22589,0.8800486411283043,22589,94159.0,0,100,low
cat38,2,A,B,169323,18995,0.8991333807708238,18995,94159.0,0,100,low
cat39,2,A,B,183393,4925,0.9738474282861967,4925,94159.0,0,100,low
cat4,2,A,B,128395,59923,0.681798872120562,59923,94159.0,0,100,low
cat40,2,A,B,180119,8199,0.9564619420342187,8199,94159.0,0,100,low
cat41,2,A,B,181177,7141,0.9620800985566966,7141,94159.0,0,100,low
cat42,2,A,B,186623,1695,0.9909992671969753,1695,94159.0,0,100,low
cat43,2,A,B,184110,4208,0.9776548179143789,4208,94159.0,0,100,low
cat44,2,A,B,172716,15602,0.9171507768774095,15602,94159.0,0,100,low
cat45,2,A,B,183991,4327,0.9770229080597712,4327,94159.0,0,100,low
cat46,2,A,B,187436,882,0.9953164328423199,882,94159.0,0,100,low
cat47,2,A,B,187617,701,0.996277573041345,701,94159.0,0,100,low
cat48,2,A,B,188049,269,0.998571565118576,269,94159.0,0,100,low
cat49,2,A,B,179127,9191,0.95119425652354,9191,94159.0,0,100,low
cat5,2,A,B,123737,64581,0.6570641149544919,64581,94159.0,0,100,low
cat50,2,A,B,137611,50707,0.7307373697681581,50707,94159.0,0,100,low
cat51,2,A,B,187071,1247,0.9933782219437335,1247,94159.0,0,100,low
cat52,2,A,B,179505,8813,0.9532014995911171,8813,94159.0,0,100,low
cat53,2,A,B,172949,15369,0.9183880457523975,15369,94159.0,0,100,low
cat54,2,A,B,183762,4556,0.975806879852165,4556,94159.0,0,100,low
cat55,2,A,B,188173,145,0.9992300258074108,145,94159.0,0,100,low
cat56,2,A,B,188136,182,0.9990335496341295,182,94159.0,0,100,low
cat57,2,A,B,185296,3022,0.9839526757930734,3022,94159.0,0,100,low
cat58,2,A,B,188079,239,0.9987308701239392,239,94159.0,0,100,low
cat59,2,A,B,188018,300,0.9984069499463674,300,94159.0,0,100,low
