field,field_type,role,observed_dtype,range_or_levels,unique_count,missing_count,missing_pct,unit_or_scale,documented_meaning,quality_limitation,september_handling,purpose,inputs,derivation,version,owner
id,source,identifier,int64,1 to 587633,188318.0,0.0,0.0,N/A,Claim row identifier,None recorded in anomaly register,Integrity checks only; excluded from distribution and target-effect interpretation,,,,v1.0.0,Leng
cat1,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat2,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat3,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat4,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat5,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat6,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat7,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat8,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat9,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
cat10,source,categorical predictor,category label,A|B,2.0,0.0,0.0,N/A (anonymous nominal),Unknown,None recorded in anomaly register,Unordered nominal labels; no causal interpretation,,,,v1.0.0,Leng
