column_name,role,observed_dtype,unique_count,missing_count,missing_percentage,observed_min,observed_max,expected_scale
id,identifier,int64,188318,0,0.0,1.0,587633.0,N/A
cat1,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat2,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat3,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat4,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat5,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat6,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat7,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat8,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat9,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat10,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat11,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat12,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat13,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat14,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat15,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat16,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat17,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat18,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat19,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat20,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat21,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat22,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat23,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat24,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat25,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat26,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat27,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat28,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat29,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat30,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat31,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat32,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat33,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat34,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat35,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat36,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat37,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat38,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat39,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat40,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat41,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat42,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat43,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat44,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat45,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat46,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat47,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat48,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat49,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat50,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat51,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat52,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat53,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat54,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat55,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat56,categorical_predictor,str,2,0,0.0,,,nominal categorical
cat57,categorical_predictor,str,2,0,0.0,,,nominal categorical
